,Film,Producer(s),Production Company(s),Winner,year,year_simple,Edition,Budget,Budget_converted_to_USD,Detail URL,Wiki URL
457,Juno,"Lianne Halfon , Mason Novick , and Russell Smith","Fox Searchlight, Mr. Mudd",False,2007  (80th),2007,80,$6.5 [ 1 ] –$7 million [ 2 ],6500000,http://oscars.yipitdata.com/films/Juno_(film),http://en.wikipedia.org/wiki/Juno_(film)
458,Michael Clayton,"Jennifer Fox , Kerry Orent, and Sydney Pollack","Warner Bros., Castle Rock Entertainment, Section Eight Productions, Mirage Enterprises",False,2007  (80th),2007,80,$25 million,25000000,http://oscars.yipitdata.com/films/Michael_Clayton_(film),http://en.wikipedia.org/wiki/Michael_Clayton_(film)
459,There Will Be Blood,"Paul Thomas Anderson , Daniel Lupi , and JoAnne Sellar","Paramount Vantage, Miramax",False,2007  (80th),2007,80,$25 million [ 1 ],25000000,http://oscars.yipitdata.com/films/There_Will_Be_Blood,http://en.wikipedia.org/wiki/There_Will_Be_Blood
460,Slumdog Millionaire [O],Christian Colson,"Fox Searchlight, Warner Bros., Celador, Film4",True,2008  (81st),2008,81,$15 million [ 4 ],15000000,http://oscars.yipitdata.com/films/Slumdog_Millionaire,http://en.wikipedia.org/wiki/Slumdog_Millionaire
461,The Curious Case of Benjamin Button,"Kathleen Kennedy , Frank Marshall , and Cean Chaffin","Paramount, Warner Bros., Kennedy/Marshall Productions",False,2008  (81st),2008,81,$150 million [ 1 ] [ 2 ],150000000,http://oscars.yipitdata.com/films/The_Curious_Case_of_Benjamin_Button_(film),http://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film)
462,Frost/Nixon,"Ron Howard , Brian Grazer , and Eric Fellner","Universal, Imagine Entertainment, Working Title",False,2008  (81st),2008,81,$25 million,25000000,http://oscars.yipitdata.com/films/Frost/Nixon_(film),http://en.wikipedia.org/wiki/Frost/Nixon_(film)
463,Milk,Bruce Cohen and Dan Jinks,"Focus Features, Jinks/Cohen Co., Groundswell",False,2008  (81st),2008,81,$20 million,20000000,http://oscars.yipitdata.com/films/Milk_(film),http://en.wikipedia.org/wiki/Milk_(film)
464,The Reader,"Anthony Minghella , Sydney Pollack , Donna Gigliotti , and Redmond Morris","The Weinstein Co. , Mirage, Neunte Babelsberg Film",False,2008  (81st),2008,81,$32 million [ 3 ],32000000,http://oscars.yipitdata.com/films/The_Reader_(2008_film),http://en.wikipedia.org/wiki/The_Reader_(2008_film)
465,The Hurt Locker,"Kathryn Bigelow , Mark Boal , Nicolas Chartier , and Greg Shapiro","Summit Entertainment , Voltage Pictures , First Light Productions, Kingsgate Films",True,2009  (82nd),2009,82,$15 million [ 1 ],15000000,http://oscars.yipitdata.com/films/The_Hurt_Locker,http://en.wikipedia.org/wiki/The_Hurt_Locker
466,Avatar,James Cameron and Jon Landau,"20th Century Fox, Lightstorm Entertainment, Dune Entertainment , Ingenious Media",False,2009  (82nd),2009,82,$237 million [ 3 ] $9 million+ (re-release) [ 4 ],2379000000,http://oscars.yipitdata.com/films/Avatar_(2009_film),http://en.wikipedia.org/wiki/Avatar_(2009_film)
467,The Blind Side,"Gil Netter, Andrew A. Kosove, and Broderick Johnson","Warner Bros., Alcon Entertainment",False,2009  (82nd),2009,82,$29 million [ 1 ],29000000,http://oscars.yipitdata.com/films/The_Blind_Side_(film),http://en.wikipedia.org/wiki/The_Blind_Side_(film)
468,District 9,Peter Jackson and Carolynne Cunningham,"Tristar, WingNut Films",False,2009  (82nd),2009,82,$30 million [ 3 ],30000000,http://oscars.yipitdata.com/films/District_9,http://en.wikipedia.org/wiki/District_9
469,An Education,Finola Dwyer and Amanda Posey,"Sony Pictures Classics, Finola Dwyer Productions, Wildgaze Films",False,2009  (82nd),2009,82,$7.5 million [ 2 ],7500000,http://oscars.yipitdata.com/films/An_Education,http://en.wikipedia.org/wiki/An_Education
470,Inglourious Basterds,Lawrence Bender,"The Weinstein Co., Universal, Band Apart, Zehnte Babelsberg Film",False,2009  (82nd),2009,82,$70 million [ 5 ],70000000,http://oscars.yipitdata.com/films/Inglourious_Basterds,http://en.wikipedia.org/wiki/Inglourious_Basterds
471,"Precious: Based on the Novel ""Push"" by Sapphire","Lee Daniels , Sarah Siegel-Magness, and Gary Magness","Lionsgate, Lee Daniels Entertainment, Smokewood Entertainment",False,2009  (82nd),2009,82,$10 million [ 1 ],10000000,http://oscars.yipitdata.com/films/Precious_(film),http://en.wikipedia.org/wiki/Precious_(film)
472,A Serious Man,Joel Coen and Ethan Coen,"Focus Features, Working Title, Mike Zoss Productions",False,2009  (82nd),2009,82,$7 million,7000000,http://oscars.yipitdata.com/films/A_Serious_Man,http://en.wikipedia.org/wiki/A_Serious_Man
473,Up,Jonas Rivera,"Disney, Pixar",False,2009  (82nd),2009,82,$175 million [ 1 ],175000000,http://oscars.yipitdata.com/films/Up_(2009_film),http://en.wikipedia.org/wiki/Up_(2009_film)
474,Up in the Air,"Daniel Dubiecki , Ivan Reitman , and Jason Reitman","Paramount, The Montecito Picture Company",False,2009  (82nd),2009,82,$25 million [ 1 ] [ 2 ],25000000,http://oscars.yipitdata.com/films/Up_in_the_Air_(2009_film),http://en.wikipedia.org/wiki/Up_in_the_Air_(2009_film)
475,The King's Speech,"Iain Canning , Emile Sherman, and Gareth Unwin","The Weinstein Co., Momentum Pictures , UK Film Council , See-Saw Films , Bedlam Productions",True,2010  (83rd),2010,83,$15 million [ 3 ],15000000,http://oscars.yipitdata.com/films/The_King%2527s_Speech,http://en.wikipedia.org/wiki/The_King%27s_Speech
476,127 Hours,"Danny Boyle , John Smithson , and Christian Colson","Fox Searchlight, Pathé , Dune Entertainment, Everest Entertainment",False,2010  (83rd),2010,83,$18 million [ 1 ],18000000,http://oscars.yipitdata.com/films/127_Hours,http://en.wikipedia.org/wiki/127_Hours
477,Black Swan,"Scott Franklin , Mike Medavoy , and Brian Oliver","Fox Searchlight, Dune Entertainment, Cross Creek Pictures, Phoenix Pictures",False,2010  (83rd),2010,83,$13 million [ 1 ],13000000,http://oscars.yipitdata.com/films/Black_Swan_(film),http://en.wikipedia.org/wiki/Black_Swan_(film)
478,The Fighter,"David Hoberman , Todd Lieberman , and Mark Wahlberg","The Weinstein Co., Paramount, Mandeville Films",False,2010  (83rd),2010,83,$25 million [ 3 ],25000000,http://oscars.yipitdata.com/films/The_Fighter,http://en.wikipedia.org/wiki/The_Fighter
479,Inception,Christopher Nolan and Emma Thomas,"Warner Bros., Legendary Pictures , Syncopy",False,2010  (83rd),2010,83,$160 million [ 3 ],160000000,http://oscars.yipitdata.com/films/Inception,http://en.wikipedia.org/wiki/Inception
480,The Kids Are All Right,"Gary Gilbert , Jeffrey Levy-Hinte , and Celine Rattray","Focus Features, Gilbert Films",False,2010  (83rd),2010,83,$4 million [ 1 ],4000000,http://oscars.yipitdata.com/films/The_Kids_Are_All_Right_(film),http://en.wikipedia.org/wiki/The_Kids_Are_All_Right_(film)
481,The Social Network,"Dana Brunetti , Ceán Chaffin, Michael De Luca , and Scott Rudin","Columbia, Scott Rudin Productions, Trigger Street Productions",False,2010  (83rd),2010,83,$40 million [ 2 ],40000000,http://oscars.yipitdata.com/films/The_Social_Network,http://en.wikipedia.org/wiki/The_Social_Network
482,Toy Story 3,Darla K. Anderson,"Disney, Pixar",False,2010  (83rd),2010,83,$200 million [ 1 ],200000000,http://oscars.yipitdata.com/films/Toy_Story_3,http://en.wikipedia.org/wiki/Toy_Story_3
483,True Grit,"Joel Coen, Ethan Coen , and Scott Rudin","Paramount, Skydance Productions , Mike Zoss Productions",False,2010  (83rd),2010,83,$38 million [ 1 ],38000000,http://oscars.yipitdata.com/films/True_Grit_(2010_film),http://en.wikipedia.org/wiki/True_Grit_(2010_film)
484,Winter's Bone,Alix Madigan and Anne Rosellini,Roadside Attractions,False,2010  (83rd),2010,83,$2 million [ 2 ],2000000,http://oscars.yipitdata.com/films/Winter%2527s_Bone,http://en.wikipedia.org/wiki/Winter%27s_Bone
485,The Artist,Thomas Langmann,"The Weinstein Co., Warner Bros., Entertainment Film Distributors , La Petite Reine, ARP Sélection, Studio 37, La Class Americane, France 3 Cinema , U Film , Jouror Productions, JD Prod, Wild Bunch",True,2011  (84th),2011,84,$15 million,15000000,http://oscars.yipitdata.com/films/The_Artist_(film),http://en.wikipedia.org/wiki/The_Artist_(film)
486,The Descendants,"Jim Burke , Alexander Payne , and Jim Taylor",Fox Searchlight,False,2011  (84th),2011,84,$20 million [ 3 ],20000000,http://oscars.yipitdata.com/films/The_Descendants,http://en.wikipedia.org/wiki/The_Descendants
487,Extremely Loud and Incredibly Close,Scott Rudin,"Warner Bros., Scott Rudin Productions",False,2011  (84th),2011,84,$40 million,40000000,http://oscars.yipitdata.com/films/Extremely_Loud_and_Incredibly_Close_(film),http://en.wikipedia.org/wiki/Extremely_Loud_and_Incredibly_Close_(film)
488,The Help,"Brunson Green , Chris Columbus , and Michael Barnathan","DreamWorks, Touchstone, Participant Media, Imageation Abu Dahbi",False,2011  (84th),2011,84,$25 million [ 1 ],25000000,http://oscars.yipitdata.com/films/The_Help_(film),http://en.wikipedia.org/wiki/The_Help_(film)
489,Hugo,Graham King and Martin Scorsese,"Paramount, GK Films , Infinitum Nihil",False,2011  (84th),2011,84,$150-170 million [ 3 ],150000000,http://oscars.yipitdata.com/films/Hugo_(film),http://en.wikipedia.org/wiki/Hugo_(film)
490,Midnight in Paris,Letty Aronson and Stephen Tenenbaum,Sony Pictures Classics,False,2011  (84th),2011,84,$17 million [ 2 ],17000000,http://oscars.yipitdata.com/films/Midnight_in_Paris,http://en.wikipedia.org/wiki/Midnight_in_Paris
491,Moneyball,"Michael De Luca , Rachael Horovitz , and Brad Pitt","Columbia, Scott Rudin Productions, Michael De Luca Productions",False,2011  (84th),2011,84,$50 million [ 2 ],50000000,http://oscars.yipitdata.com/films/Moneyball_(film),http://en.wikipedia.org/wiki/Moneyball_(film)
492,The Tree of Life,"Sarah Green , Bill Pohlad , Dede Gardner , and Grant Hill","Fox Searchlight, River Road Entertainment",False,2011  (84th),2011,84,$32 million [ 2 ],32000000,http://oscars.yipitdata.com/films/The_Tree_of_Life_(film),http://en.wikipedia.org/wiki/The_Tree_of_Life_(film)
493,War Horse,Steven Spielberg and Kathleen Kennedy,"DreamWorks, Touchstone, Amblin Entertainment",False,2011  (84th),2011,84,$66 million,66000000,http://oscars.yipitdata.com/films/War_Horse_(film),http://en.wikipedia.org/wiki/War_Horse_(film)
494,Argo,"Grant Heslov , Ben Affleck , and George Clooney","Warner Bros., GK Films, Smoke House Pictures",True,2012  (85th),2012,85,$44.5 million [ 2 ],44500000,http://oscars.yipitdata.com/films/Argo_(2012_film),http://en.wikipedia.org/wiki/Argo_(2012_film)
495,Amour [K],"Margaret Menegoz , Stefan Arndt , Veit Heiduschka , and Michael Katz","Sony Pictures Classics, Les Films du Losange, X Filme Creative Pool, Wega Film Production",False,2012  (85th),2012,85,$ 8.9 million [ 3 ],8900000,http://oscars.yipitdata.com/films/Amour_(2012_film),http://en.wikipedia.org/wiki/Amour_(2012_film)
496,Beasts of the Southern Wild,"Dan Janvey, Josh Penn, and Michael Gottwald","Fox Searchlight, Cinereach",False,2012  (85th),2012,85,$1.8 million,1800000,http://oscars.yipitdata.com/films/Beasts_of_the_Southern_Wild,http://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild
497,Django Unchained,"Stacey Sher , Reginald Hudlin , and Pilar Savone","The Weinstein Co., Columbia, Band Apart",False,2012  (85th),2012,85,$100 million [ 2 ],100000000,http://oscars.yipitdata.com/films/Django_Unchained,http://en.wikipedia.org/wiki/Django_Unchained
498,Les Misérables,"Tim Bevan , Eric Fellner , Debra Hayward , and Cameron Mackintosh","Universal, Working Title, Cameron Mackintosh Limited",False,2012  (85th),2012,85,,0,http://oscars.yipitdata.com/films/Les_Mis%C3%A9rables_(2012_film),http://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film)
499,Life of Pi,"Gil Netter, Ang Lee , and David Womark","20th Century Fox, Dune Entertainment, Ingenious Media, Haishang Films",False,2012  (85th),2012,85,US$120 million [ 8 ],120000000,http://oscars.yipitdata.com/films/Life_of_Pi_(film),http://en.wikipedia.org/wiki/Life_of_Pi_(film)
500,Lincoln,Steven Spielberg and Kathleen Kennedy,"DreamWorks, Touchstone, 20th Century Fox, Amblin Entertainment",False,2012  (85th),2012,85,$65 million [ 3 ],65000000,http://oscars.yipitdata.com/films/Lincoln_(2012_film),http://en.wikipedia.org/wiki/Lincoln_(2012_film)
501,Silver Linings Playbook,"Donna Gigliotti , Bruce Cohen , and Jonathan Gordon",The Weinstein Co.,False,2012  (85th),2012,85,$21 million [ 2 ],21000000,http://oscars.yipitdata.com/films/Silver_Linings_Playbook,http://en.wikipedia.org/wiki/Silver_Linings_Playbook
502,Zero Dark Thirty,"Mark Boal , Kathryn Bigelow , and Megan Ellison","Columbia, Annapurna Pictures",False,2012  (85th),2012,85,$40 million [ 2 ],40000000,http://oscars.yipitdata.com/films/Zero_Dark_Thirty,http://en.wikipedia.org/wiki/Zero_Dark_Thirty
503,12 Years a Slave,"Brad Pitt , Dede Gardner , Jeremy Kleiner , Steve McQueen , and Anthony Katagas","Fox Searchlight, Regency Enterprises , River Road Entertainment, Plan B Entertainment , New Regency, Film4 Productions",True,2013  (86th) [ 22 ],2013,86,$22 million [ 2 ],22000000,http://oscars.yipitdata.com/films/12_Years_a_Slave_(film),http://en.wikipedia.org/wiki/12_Years_a_Slave_(film)
504,American Hustle,"Charles Roven , Richard Suckle, Megan Ellison , and Jonathan Gordon","Columbia, Atlas Entertainment , Annapurna Pictures",False,2013  (86th) [ 22 ],2013,86,$40 million [ 2 ],40000000,http://oscars.yipitdata.com/films/American_Hustle,http://en.wikipedia.org/wiki/American_Hustle
505,Captain Phillips,"Scott Rudin , Dana Brunetti , and Michael De Luca","Columbia, Michael De Luca Productions, Scott Rudin Productions, Trigger Street",False,2013  (86th) [ 22 ],2013,86,$55 million,55000000,http://oscars.yipitdata.com/films/Captain_Phillips_(film),http://en.wikipedia.org/wiki/Captain_Phillips_(film)
506,Dallas Buyers Club,Robbie Brenner and Rachel Winter,"Focus Features, Truth Entertainment, Voltage Pictures",False,2013  (86th) [ 22 ],2013,86,$5 million [ 1 ],5000000,http://oscars.yipitdata.com/films/Dallas_Buyers_Club,http://en.wikipedia.org/wiki/Dallas_Buyers_Club
507,Gravity,Alfonso Cuarón and David Heyman,"Warner Bros., Esperanto Filmoj , Heyday Films",False,2013  (86th) [ 22 ],2013,86,$100 million [ 3 ],100000000,http://oscars.yipitdata.com/films/Gravity_(film),http://en.wikipedia.org/wiki/Gravity_(film)
508,Her,"Megan Ellison , Spike Jonze , and Vincent Landay","Warner Bros., Entertainment Film Distributors, Annapurna Pictures",False,2013  (86th) [ 22 ],2013,86,$23 million [ 2 ],23000000,http://oscars.yipitdata.com/films/Her_(film),http://en.wikipedia.org/wiki/Her_(film)
509,Nebraska,Albert Berger and Ron Yerxa,"Paramount Vantage, FilmNation Entertainment",False,2013  (86th) [ 22 ],2013,86,$12 million [ 1 ],12000000,http://oscars.yipitdata.com/films/Nebraska_(film),http://en.wikipedia.org/wiki/Nebraska_(film)
510,Philomena,"Gabrielle Tana, Steve Coogan , and Tracey Seaward","The Weinstein Co., Pathé, BBC Films , British Film Institute, Canal+ , Cine+ , Baby Cow Productions , Magnolia Mae Films",False,2013  (86th) [ 22 ],2013,86,$12 million [ 2 ],12000000,http://oscars.yipitdata.com/films/Philomena_(film),http://en.wikipedia.org/wiki/Philomena_(film)
511,The Wolf of Wall Street,"Martin Scorsese , Leonardo DiCaprio , Joey McFarland , and Emma Tillinger Koskoff","Paramount, Universal, Red Granite Pictures , Appian Way Productions , Sikelia Productions, Emjag Productions",False,2013  (86th) [ 22 ],2013,86,$100 million [ 2 ] [ 3 ],100000000,http://oscars.yipitdata.com/films/The_Wolf_of_Wall_Street_(2013_film),http://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film)
512,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu , John Lesher and James W. Skotchdopole","Fox Searchlight, Regency Enterprises, Worldview Entertainment",True,2014  (87th) [ 23 ],2014,87,$16.5-18 million [ 2 ] [ 3 ],16500000,http://oscars.yipitdata.com/films/Birdman_(film),http://en.wikipedia.org/wiki/Birdman_(film)
513,American Sniper,"Clint Eastwood , Andrew Lazar , Robert Lorenz , Bradley Cooper , and Peter Morgan","Warner Bros., Village Roadshow Pictures , Mad Chance Productions, 22nd and Indiana Pictures, Malpaso",False,2014  (87th) [ 23 ],2014,87,$58.8 million [ 3 ] [ 4 ] [ 5 ],58800000,http://oscars.yipitdata.com/films/American_Sniper,http://en.wikipedia.org/wiki/American_Sniper
514,Boyhood,Richard Linklater and Cathleen Sutherland,IFC Films,False,2014  (87th) [ 23 ],2014,87,$4 million [ 2 ],4000000,http://oscars.yipitdata.com/films/Boyhood_(film),http://en.wikipedia.org/wiki/Boyhood_(film)
515,The Grand Budapest Hotel,"Wes Anderson , Scott Rudin , Steven Rales , and Jeremy Dawson","Fox Searchlight, American Empirical Pictures, Indian Paintbrush , Babelsberg Studio",False,2014  (87th) [ 23 ],2014,87,€ 23 million [ 3 ] (US$30 million),27140000,http://oscars.yipitdata.com/films/The_Grand_Budapest_Hotel,http://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel
516,The Imitation Game,"Nora Grossman , Ido Ostrowsky , and Teddy Schwarzman","The Weinstein Co., Black Bear Pictures, Bristol Automotive, StudioCanal",False,2014  (87th) [ 23 ],2014,87,$14 million [ 4 ],14000000,http://oscars.yipitdata.com/films/The_Imitation_Game,http://en.wikipedia.org/wiki/The_Imitation_Game
517,Selma,"Christian Colson , Oprah Winfrey , Dede Gardner , and Jeremy Kleiner","Paramount, Pathé, Cloud Eight Films, Plan B Entertainment , Harpo Films",False,2014  (87th) [ 23 ],2014,87,$20 million [ 2 ],20000000,http://oscars.yipitdata.com/films/Selma_(film),http://en.wikipedia.org/wiki/Selma_(film)
518,The Theory of Everything,"Tim Bevan , Eric Fellner , Lisa Bruce , and Anthony McCarten","Focus Features, Working Title",False,2014  (87th) [ 23 ],2014,87,$15 million [ 3 ],15000000,http://oscars.yipitdata.com/films/The_Theory_of_Everything_(2014_film),http://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film)
519,Whiplash,"Jason Blum , Helen Estabrook, and David Lancaster","Sony Pictures Classics, Bold Films , Blumhouse Productions , Right of Way Films",False,2014  (87th) [ 23 ],2014,87,$3.3 million [ 2 ],3300000,http://oscars.yipitdata.com/films/Whiplash_(2014_film),http://en.wikipedia.org/wiki/Whiplash_(2014_film)
