,Film,Producer(s),Production Company(s),Winner,year,year_simple,Edition,Budget,Budget_converted_to_USD,Detail URL,Wiki URL
275,The French Connection,Philip D'Antoni,20th Century Fox,True,1971  (44th),1971,44,$1.8 million,1800000,http://oscars.yipitdata.com/films/The_French_Connection_(film),http://en.wikipedia.org/wiki/The_French_Connection_(film)
276,A Clockwork Orange,Stanley Kubrick,Warner Bros.,False,1971  (44th),1971,44,$2.2 million [ 3 ],2200000,http://oscars.yipitdata.com/films/A_Clockwork_Orange_(film),http://en.wikipedia.org/wiki/A_Clockwork_Orange_(film)
277,Fiddler on the Roof,Norman Jewison,United Artists,False,1971  (44th),1971,44,$9 million,9000000,http://oscars.yipitdata.com/films/Fiddler_on_the_Roof_(film),http://en.wikipedia.org/wiki/Fiddler_on_the_Roof_(film)
278,The Last Picture Show,Stephen J. Friedman,Columbia,False,1971  (44th),1971,44,$1.3 million,1300000,http://oscars.yipitdata.com/films/The_Last_Picture_Show,http://en.wikipedia.org/wiki/The_Last_Picture_Show
279,Nicholas and Alexandra,Sam Spiegel,Columbia,False,1971  (44th),1971,44,,0,http://oscars.yipitdata.com/films/Nicholas_and_Alexandra,http://en.wikipedia.org/wiki/Nicholas_and_Alexandra
280,The Godfather,Albert S. Ruddy,Paramount,True,1972  (45th),1972,45,$6–7 million [ 1 ] [ 2 ],6000000,http://oscars.yipitdata.com/films/The_Godfather,http://en.wikipedia.org/wiki/The_Godfather
281,Cabaret,Cy Feuer,"Allied Artists, ABC Pictures",False,1972  (45th),1972,45,"$2,285,000 [ 1 ]",2285000,http://oscars.yipitdata.com/films/Cabaret_(1972_film),http://en.wikipedia.org/wiki/Cabaret_(1972_film)
282,Deliverance,John Boorman,Warner Bros.,False,1972  (45th),1972,45,$2 million,2000000,http://oscars.yipitdata.com/films/Deliverance,http://en.wikipedia.org/wiki/Deliverance
283,The Emigrants [K],Bengt Forslund,"Warner Bros., Svensk Filmindustri",False,1972  (45th),1972,45,$1.6 million,1600000,http://oscars.yipitdata.com/films/The_Emigrants_(film),http://en.wikipedia.org/wiki/The_Emigrants_(film)
284,Sounder,Robert B. Radnitz,20th Century Fox,False,1972  (45th),1972,45,"$900,000 [ 3 ]",900000,http://oscars.yipitdata.com/films/Sounder_(film),http://en.wikipedia.org/wiki/Sounder_(film)
285,The Sting,"Tony Bill , Michael Phillips , Julia Phillips",Universal,True,1973  (46th),1973,46,$5.5 million [ 1 ],5500000,http://oscars.yipitdata.com/films/The_Sting,http://en.wikipedia.org/wiki/The_Sting
286,American Graffiti,"Francis Ford Coppola , Gary Kurtz","Lucasfilm , Universal, Coppola Co.",False,1973  (46th),1973,46,"$777,000 [ 1 ]",777000,http://oscars.yipitdata.com/films/American_Graffiti,http://en.wikipedia.org/wiki/American_Graffiti
287,Cries and Whispers [K],Ingmar Bergman,"Cinematograph, Svenska Filminstitutet",False,1973  (46th),1973,46,"$400,000",400000,http://oscars.yipitdata.com/films/Cries_and_Whispers,http://en.wikipedia.org/wiki/Cries_and_Whispers
288,The Exorcist,William Peter Blatty,Warner Bros.,False,1973  (46th),1973,46,$12 million [ 2 ],12000000,http://oscars.yipitdata.com/films/The_Exorcist_(film),http://en.wikipedia.org/wiki/The_Exorcist_(film)
289,A Touch of Class,Melvin Frank,"Avco Embassy, Gordon Film Productions",False,1973  (46th),1973,46,,0,http://oscars.yipitdata.com/films/A_Touch_of_Class_(film),http://en.wikipedia.org/wiki/A_Touch_of_Class_(film)
290,The Godfather Part II  [O],"Francis Ford Coppola , Gray Frederickson , Fred Roos",Paramount,True,1974  (47th),1974,47,$13 million [ 2 ] [ 3 ],13000000,http://oscars.yipitdata.com/films/The_Godfather_Part_II,http://en.wikipedia.org/wiki/The_Godfather_Part_II
291,Chinatown,Robert Evans,Paramount,False,1974  (47th),1974,47,$6 million [ 2 ],6000000,http://oscars.yipitdata.com/films/Chinatown_(1974_film),http://en.wikipedia.org/wiki/Chinatown_(1974_film)
292,The Conversation,Francis Ford Coppola,"Paramount, Coppola Co.",False,1974  (47th),1974,47,$1.6 million,1600000,http://oscars.yipitdata.com/films/The_Conversation,http://en.wikipedia.org/wiki/The_Conversation
293,Lenny,Marvin Worth,United Artists,False,1974  (47th),1974,47,,0,http://oscars.yipitdata.com/films/Lenny_(film),http://en.wikipedia.org/wiki/Lenny_(film)
294,The Towering Inferno,Irwin Allen,"20th Century Fox, Warner Bros.",False,1974  (47th),1974,47,$14.3 million [ 1 ],14300000,http://oscars.yipitdata.com/films/The_Towering_Inferno,http://en.wikipedia.org/wiki/The_Towering_Inferno
295,One Flew Over the Cuckoo's Nest,"Saul Zaentz [N] , Michael Douglas",United Artists,True,1975  (48th),1975,48,$3 million [ 3 ],3000000,http://oscars.yipitdata.com/films/One_Flew_Over_the_Cuckoo%2527s_Nest_(film),http://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film)
296,Barry Lyndon,Stanley Kubrick,"Warner Bros., Peregrine Productions, Hawk Films",False,1975  (48th),1975,48,$11 million,11000000,http://oscars.yipitdata.com/films/Barry_Lyndon,http://en.wikipedia.org/wiki/Barry_Lyndon
